ID,PROJECT,FILE,START,END,LOC,CYCLO,MAXNESTING,NOAV,NOLV,NOP,MaMCL,MeMCL,EMBEDDING,TL_RESULT,IS_LONG_METHOD
M-000788,MapTalks,src/layer/tile/CanvasTileLayer.js,16,22,7,2,1,0,0,2,1,0.0,-0.7440270185470581,0,0
M-000839,MapTalks,src/layer/tile/TileLayer.js,444,549,106,17,5,20,20,9,1,0.0,0.34672948718070984,1,1
M-000846,MapTalks,src/layer/tile/TileLayer.js,808,815,8,1,0,1,1,0,1,0.0,-0.7187327146530151,0,0
M-000851,MapTalks,src/layer/tile/TileLayer.js,878,1107,230,55,8,32,32,5,1,0.0,0.36962205171585083,1,1
M-000914,MapTalks,src/map/handler/Map.GeometryEvents.js,200,399,200,32,8,11,11,2,1,0.0,0.2149333953857422,1,1
M-001110,MapTalks,src/map/tool/DrawTool.js,322,329,8,2,1,2,2,0,1,0.0,-0.7596609592437744,0,0
M-001145,MapTalks,src/renderer/edit/EditHandle.js,101,114,14,4,2,0,0,0,1,0.0,-0.430434912443161,0,0
M-001183,MapTalks,src/renderer/geometry/Painter.js,156,237,82,26,4,13,13,5,1,0.0,0.3388722538948059,1,1
M-001184,MapTalks,src/renderer/geometry/Painter.js,239,393,155,23,8,8,8,7,1,0.0,0.3838340640068054,1,1
M-001185,MapTalks,src/renderer/geometry/Painter.js,395,508,114,22,5,7,7,2,1,0.0,0.26170578598976135,1,1
M-001207,MapTalks,src/renderer/geometry/Painter.js,865,868,4,1,0,0,0,0,1,0.0,-0.948449432849884,0,0
M-001226,MapTalks,src/renderer/geometry/symbolizers/DebugSymbolizer.js,19,56,38,9,4,9,9,1,1,0.0,-0.15893831849098206,0,0
M-001230,MapTalks,src/renderer/geometry/symbolizers/DrawAltitudeSymbolizer.js,71,74,4,3,0,1,1,0,1,0.0,-0.8004778027534485,0,0
M-001281,MapTalks,src/renderer/geometry/symbolizers/VectorMarkerSymbolizer.js,37,57,21,11,1,2,2,2,1,0.0,-0.27512940764427185,0,0
M-001382,MapTalks,src/renderer/layer/ImageGLRenderable.js,230,251,22,1,0,1,1,5,1,0.0,0.17142970860004425,0,0
M-001426,MapTalks,src/renderer/layer/tilelayer/TileLayerCanvasRenderer.js,158,283,126,29,8,15,15,0,1,0.0,0.3825034201145172,1,1
M-001493,MapTalks,src/renderer/layer/tilelayer/TileLayerDomRenderer.js,298,392,95,21,3,9,9,0,1,0.0,0.09378255903720856,1,1
M-001501,MapTalks,src/renderer/layer/tilelayer/TileLayerDomRenderer.js,547,554,8,3,3,0,0,0,1,0.0,-0.8042371273040771,0,0
M-001506,MapTalks,src/renderer/layer/tilelayer/TileLayerDomRenderer.js,631,653,23,2,1,1,1,1,1,0.0,-0.5792217254638672,0,0
M-001541,MapTalks,src/renderer/layer/vectorlayer/OverlayLayerCanvasRenderer.js,70,73,4,1,0,0,0,1,1,0.0,-0.9420767426490784,0,0
M-001571,MapTalks,src/renderer/layer/vectorlayer/VectorLayerCanvasRenderer.js,381,465,85,22,4,15,15,1,1,0.0,0.13740412890911102,1,1
M-001578,MapTalks,src/renderer/map/MapCanvasRenderer.js,99,198,100,35,5,11,11,2,1,0.0,0.3520010709762573,1,1
M-001584,MapTalks,src/renderer/map/MapCanvasRenderer.js,315,392,78,19,4,7,7,1,1,0.0,0.27879470586776733,1,1
M-001679,MapTalks,src/ui/ToolTip.js,152,156,5,1,0,0,0,0,1,0.0,-0.9328975677490234,0,0
M-001686,MapTalks,src/ui/UIComponent.js,180,308,129,24,3,7,7,1,1,0.0,0.22768989205360413,1,1
M-001916,Atom,packages/git-diff/lib/git-diff-view.js,211,217,7,2,0,0,0,0,1,0.0,-0.8391233682632446,0,0
M-001936,Atom,packages/incompatible-packages/lib/incompatible-packages-component.js,12,38,27,2,3,0,0,1,1,0.0,-0.25628861784935,0,0
M-001946,Atom,packages/incompatible-packages/lib/incompatible-packages-component.js,195,212,18,3,3,0,0,0,1,0.0,-0.24112184345722198,0,0
M-001947,Atom,packages/incompatible-packages/lib/incompatible-packages-component.js,214,217,4,1,0,0,0,2,1,0.0,-0.90968257188797,0,0
M-001982,Atom,packages/welcome/lib/guide-view.js,380,388,9,3,1,0,0,0,1,0.0,-0.7265215516090393,0,0
M-001983,Atom,packages/welcome/lib/guide-view.js,390,396,7,1,0,0,0,0,1,0.0,-0.7766495943069458,0,0
M-002154,Atom,src/atom-environment.js,1093,1098,6,2,0,0,0,0,1,0.0,-0.8681520223617554,0,0
M-002188,Atom,src/atom-environment.js,1577,1580,4,1,0,0,0,1,1,0.0,-0.916864275932312,0,0
M-002192,Atom,src/atom-environment.js,1606,1741,136,23,5,5,5,1,4,3.5,0.5017105937004089,1,1
M-002194,Atom,src/auto-update-manager.js,4,8,5,1,0,0,0,1,1,0.0,-0.8652170300483704,0,0
M-002278,Atom,src/config-file.js,59,64,6,1,2,0,0,1,1,0.0,-0.9029152989387512,0,0
M-002294,Atom,src/config.js,779,836,58,13,4,0,0,2,1,0.0,0.3981148600578308,0,1
M-002325,Atom,src/config.js,1304,1324,21,2,4,0,0,1,1,0.0,-0.23425042629241943,0,0
M-002331,Atom,src/config.js,1406,1411,6,1,1,0,0,3,1,0.0,-0.7809838652610779,0,0
M-002438,Atom,src/deserializer-manager.js,37,49,13,2,4,0,0,1,1,0.0,-0.18007278442382812,0,0
M-002507,Atom,src/dock.js,807,831,25,2,0,1,1,0,1,0.0,-0.5069755911827087,0,0
M-002657,Atom,src/main-process/application-menu.js,100,104,5,4,2,0,0,1,1,0.0,-0.7094690203666687,0,0
M-002692,Atom,src/main-process/atom-application.js,1266,1434,169,23,5,3,3,1,1,0.0,0.323027104139328,1,1
M-002720,Atom,src/main-process/atom-protocol-handler.js,17,29,13,2,1,0,0,2,1,0.0,-0.289132297039032,0,0
M-002722,Atom,src/main-process/atom-window.js,20,175,156,18,2,4,4,3,1,0.0,0.1802482008934021,1,1
M-002727,Atom,src/main-process/atom-window.js,206,276,71,2,3,0,0,0,1,0.0,-0.3349987268447876,0,0
M-002997,Atom,src/package.js,623,650,28,7,3,0,0,0,1,0.0,-0.24327079951763153,0,0
M-003008,Atom,src/package.js,966,969,4,2,0,1,1,0,1,0.0,-0.9083983898162842,0,0
M-003048,Atom,src/pane-axis.js,14,30,17,4,3,0,0,2,1,0.0,-0.22763006389141083,0,0
M-003160,Atom,src/pane.js,25,59,35,6,2,3,3,2,1,0.0,-0.3568296730518341,0,0
M-003354,Atom,src/project.js,690,693,4,2,0,1,1,1,1,0.0,-0.8119409084320068,0,0
M-003394,Atom,src/ripgrep-directory-searcher.js,221,364,144,13,9,6,6,4,1,0.0,0.32761406898498535,1,1
M-003395,Atom,src/ripgrep-directory-searcher.js,369,403,35,7,3,1,1,2,1,0.0,-0.21218949556350708,0,0
M-003403,Atom,src/scope-descriptor.js,71,82,12,4,3,0,0,1,1,0.0,-0.2719470262527466,0,0
M-003410,Atom,src/selection.js,76,81,6,1,0,0,0,2,1,0.0,-0.8573454022407532,0,0
M-003454,Atom,src/selection.js,501,587,87,22,2,8,8,2,1,0.0,0.293069988489151,1,1
M-003496,Atom,src/state-store.js,52,66,15,1,4,0,0,2,3,3.0,-0.45579731464385986,0,0
M-003559,Atom,src/text-editor-component.js,638,721,84,3,4,2,2,0,1,0.0,-0.3728926479816437,0,0
M-003583,Atom,src/text-editor-component.js,1348,1461,114,27,8,3,3,0,1,0.0,0.3940368890762329,1,1
M-003588,Atom,src/text-editor-component.js,1529,1568,40,6,2,9,9,1,1,0.0,-0.0009600184857845306,0,0
M-003612,Atom,src/text-editor-component.js,1939,2045,107,26,4,11,11,1,1,0.0,0.09371524304151535,1,1
M-003667,Atom,src/text-editor-component.js,3011,3015,5,1,0,0,0,0,1,0.0,-0.8880996704101562,0,0
M-003685,Atom,src/text-editor-component.js,3149,3157,9,2,1,0,0,0,1,0.0,-0.6806412935256958,0,0
M-003725,Atom,src/text-editor-component.js,3668,3807,140,14,7,15,15,0,1,0.0,-0.11983043700456619,1,1
M-003750,Atom,src/text-editor-component.js,4285,4418,134,12,6,12,12,2,1,0.0,0.43876907229423523,1,1
M-003760,Atom,src/text-editor-component.js,4730,4740,11,1,0,0,0,1,1,0.0,-0.4505394697189331,0,0
M-003825,Atom,src/text-editor-element.js,309,313,5,2,0,0,0,0,1,0.0,-0.9016546607017517,0,0
M-003845,Atom,src/text-editor-registry.js,146,149,4,1,0,0,0,1,1,0.0,-0.8903884291648865,0,0
M-003857,Atom,src/text-editor.js,85,90,6,2,1,0,0,0,1,0.0,-0.8901054859161377,0,0
M-003861,Atom,src/text-editor.js,137,317,181,35,3,2,2,1,1,0.0,0.1286463886499405,1,1
M-003870,Atom,src/text-editor.js,392,527,136,32,4,1,1,1,1,0.0,0.38053762912750244,1,1
M-003982,Atom,src/text-editor.js,1572,1575,4,2,0,1,1,1,1,0.0,-0.8871800899505615,0,0
M-004080,Atom,src/text-editor.js,3261,3265,5,1,1,0,0,1,1,0.0,-0.8457673788070679,0,0
M-004161,Atom,src/text-editor.js,4095,4098,4,1,0,0,0,1,1,0.0,-0.8966906666755676,0,0
M-004193,Atom,src/text-editor.js,4489,4494,6,3,0,1,1,0,1,0.0,-0.7862916588783264,0,0
M-004248,Atom,src/text-editor.js,5152,5158,7,2,1,0,0,0,1,0.0,-0.888613224029541,0,0
M-004272,Atom,src/text-editor.js,5342,5374,33,9,2,0,0,4,1,0.0,0.27946215867996216,0,1
M-004311,Atom,src/text-editor.js,5629,5767,139,22,7,1,1,3,3,3.0,0.5559961199760437,1,1
M-004371,Atom,src/text-mate-language-mode.js,842,846,5,1,0,0,0,1,1,0.0,-0.880247950553894,0,0
M-004376,Atom,src/text-mate-language-mode.js,939,979,41,9,6,0,0,0,1,0.0,0.34464988112449646,0,1
M-004419,Atom,src/title-bar.js,2,21,20,1,1,0,0,1,1,0.0,-0.3806528151035309,0,0
M-004475,Atom,src/tree-sitter-language-mode.js,339,352,14,4,2,1,1,2,1,0.0,-0.24396927654743195,0,0
M-004497,Atom,src/tree-sitter-language-mode.js,833,936,104,17,8,3,3,2,3,3.0,0.37597787380218506,1,1
M-004561,Atom,src/window-event-handler.js,157,160,4,1,0,0,0,1,1,0.0,-0.9593802690505981,0,0
M-004562,Atom,src/window-event-handler.js,162,166,5,1,0,0,0,1,1,0.0,-0.9208604097366333,0,0
M-004686,Atom,src/workspace.js,958,961,4,1,0,0,0,1,1,0.0,-0.9226876497268677,0,0
M-004692,Atom,src/workspace.js,1077,1249,173,53,4,0,0,2,1,0.0,0.05133036524057388,1,1
M-004809,Chart.js,src/controllers/controller.line.js,35,39,5,1,0,0,0,0,1,0.0,-0.9041585922241211,0,0
M-004818,Chart.js,src/controllers/controller.polarArea.js,121,140,20,1,4,2,2,0,1,0.0,-0.29855161905288696,0,0
M-004828,Chart.js,src/controllers/controller.scatter.js,56,99,44,5,2,3,3,1,1,0.0,-0.13728681206703186,0,0
M-004831,Chart.js,src/controllers/controller.scatter.js,156,178,23,8,3,6,6,0,1,0.0,-0.23302879929542542,0,0
M-004839,Chart.js,src/core/core.animations.js,7,11,5,1,0,0,0,2,1,0.0,-0.8570699691772461,0,0
M-004874,Chart.js,src/core/core.config.js,351,367,17,4,2,3,3,4,1,0.0,-0.14444375038146973,0,0
M-004894,Chart.js,src/core/core.controller.js,433,473,41,9,3,2,2,0,1,0.0,-0.28218260407447815,0,0
M-004912,Chart.js,src/core/core.controller.js,843,850,8,2,1,1,1,4,1,0.0,-0.7619357705116272,0,0
M-004925,Chart.js,src/core/core.controller.js,960,978,19,2,1,2,2,0,1,0.0,-0.27344170212745667,0,0
M-004927,Chart.js,src/core/core.controller.js,987,994,8,2,1,0,0,0,1,0.0,-0.7725710868835449,0,0
M-004940,Chart.js,src/core/core.datasetController.js,245,268,24,1,0,0,0,2,1,0.0,-0.24120014905929565,0,0
M-004970,Chart.js,src/core/core.datasetController.js,750,770,21,5,1,1,1,3,1,0.0,-0.39436087012290955,0,0
M-004985,Chart.js,src/core/core.datasetController.js,950,977,28,5,2,5,5,1,1,0.0,-0.007968245074152946,0,0
M-004989,Chart.js,src/core/core.datasetController.js,1029,1037,9,2,1,0,0,1,1,0.0,-0.34958600997924805,0,0
M-005006,Chart.js,src/core/core.plugins.js,84,94,11,2,1,1,1,1,1,0.0,-0.7477156519889832,0,0
M-005028,Chart.js,src/core/core.scale.js,171,250,80,1,0,0,0,1,1,0.0,-0.20483168959617615,0,0
M-005037,Chart.js,src/core/core.scale.js,373,376,4,1,0,0,0,0,1,0.0,-0.948525071144104,0,0
M-005074,Chart.js,src/core/core.scale.js,934,937,4,2,0,1,1,1,1,0.0,-0.8180283904075623,0,0
M-005076,Chart.js,src/core/core.scale.js,951,957,7,5,0,2,2,0,1,0.0,-0.8175997734069824,0,0
M-005080,Chart.js,src/core/core.scale.js,1014,1143,130,18,3,18,18,1,1,0.0,0.2533857822418213,1,1
M-005081,Chart.js,src/core/core.scale.js,1148,1323,176,38,5,16,16,1,1,0.0,0.3916618525981903,1,1
M-005088,Chart.js,src/core/core.scale.js,1516,1546,31,4,1,8,8,0,1,0.0,-0.2843072712421417,0,0
M-005090,Chart.js,src/core/core.scale.js,1582,1613,32,6,2,11,11,0,1,0.0,-0.2948840856552124,0,0
M-005092,Chart.js,src/core/core.scale.js,1631,1665,35,7,3,4,4,0,1,0.0,0.08634588122367859,0,1
M-005101,Chart.js,src/elements/element.bar.js,164,177,14,2,1,0,0,1,1,0.0,-0.6196520924568176,0,0
M-005146,Chart.js,src/plugins/plugin.legend.js,230,263,34,7,4,6,6,0,1,0.0,-0.029951345175504684,0,0
M-005157,Chart.js,src/plugins/plugin.title.js,59,82,24,3,2,6,6,1,1,0.0,-0.1472657322883606,0,0
M-005171,Chart.js,src/plugins/plugin.tooltip.js,692,747,56,6,2,12,12,3,1,0.0,0.25939124822616577,0,1
M-005175,Chart.js,src/plugins/plugin.tooltip.js,928,952,25,3,3,2,2,3,1,0.0,-0.2425946593284607,0,0
M-005205,Chart.js,src/scales/scale.linearbase.js,244,288,45,5,1,5,5,0,1,0.0,-0.3060288429260254,0,0
M-005225,Chart.js,src/scales/scale.radialLinear.js,489,500,12,3,1,1,1,1,1,0.0,-0.34652483463287354,0,0
M-005240,Chart.js,src/scales/scale.time.js,302,309,8,1,0,0,0,0,1,0.0,-0.783160924911499,0,0
M-005258,Chart.js,src/scales/scale.time.js,671,674,4,1,0,0,0,1,1,0.0,-0.9502489566802979,0,0
M-005259,Chart.js,src/scales/scale.timeseries.js,46,55,10,1,0,0,0,1,1,0.0,-0.8851331472396851,0,0
M-005266,JsPaint,lib/anypalette-0.6.0.js,9357,9485,129,32,6,22,22,1,1,0.0,0.496033251285553,1,1
M-005316,JsPaint,lib/pdf.js/web/viewer.js,3955,3973,19,1,2,0,0,1,1,0.0,-0.36579054594039917,0,0
M-005335,JsPaint,lib/pdf.js/web/viewer.js,4437,4443,7,3,1,0,0,1,1,0.0,-0.8011585474014282,0,0
M-005364,JsPaint,lib/pdf.js/web/viewer.js,4968,4975,8,1,0,0,0,0,1,0.0,-0.7457427978515625,0,0
M-005370,JsPaint,lib/pdf.js/web/viewer.js,5107,5158,52,1,4,0,0,3,1,0.0,-0.3292043209075928,0,0
M-005375,JsPaint,lib/pdf.js/web/viewer.js,5238,5250,13,2,1,0,0,0,1,0.0,-0.47427815198898315,0,0
M-005386,JsPaint,lib/pdf.js/web/viewer.js,5426,5484,59,5,5,1,1,2,1,0.0,-0.20023684203624725,0,0
M-005426,JsPaint,lib/pdf.js/web/viewer.js,6562,6623,62,8,3,3,3,1,1,0.0,-0.30511152744293213,0,0
M-005436,JsPaint,lib/pdf.js/web/viewer.js,6808,6814,7,2,1,0,0,0,1,0.0,-0.8922548294067383,0,0
M-005454,JsPaint,lib/pdf.js/web/viewer.js,7094,7186,93,28,5,0,0,1,1,0.0,0.29625993967056274,1,1
M-005455,JsPaint,lib/pdf.js/web/viewer.js,7188,7228,41,9,2,0,0,1,1,0.0,-0.21658360958099365,0,0
M-005460,JsPaint,lib/pdf.js/web/viewer.js,7327,7332,6,1,0,0,0,0,1,0.0,-0.8765578269958496,0,0
M-005482,JsPaint,lib/pdf.js/web/viewer.js,7521,7581,61,8,5,2,2,1,1,0.0,-0.2942242920398712,0,0
M-005483,JsPaint,lib/pdf.js/web/viewer.js,7583,7621,39,9,3,1,1,0,1,0.0,-0.11304686963558197,0,0
M-005486,JsPaint,lib/pdf.js/web/viewer.js,7741,7767,27,7,1,0,0,0,1,0.0,-0.26886922121047974,0,0
M-005498,JsPaint,lib/pdf.js/web/viewer.js,7945,7948,4,1,0,0,0,0,1,0.0,-0.9584738612174988,0,0
M-005541,JsPaint,lib/pdf.js/web/viewer.js,8769,8777,9,2,2,0,0,0,1,0.0,-0.7079545855522156,0,0
M-005543,JsPaint,lib/pdf.js/web/viewer.js,8791,8862,72,1,5,1,1,0,1,0.0,-0.43408772349357605,0,0
M-005546,JsPaint,lib/pdf.js/web/viewer.js,8904,8922,19,4,1,1,1,1,1,0.0,-0.17357537150382996,0,0
M-005625,JsPaint,lib/pdf.js/web/viewer.js,10759,10776,18,7,1,1,1,1,1,0.0,-0.28217238187789917,0,0
M-005643,JsPaint,lib/pdf.js/web/viewer.js,11054,11184,131,31,8,0,0,2,1,0.0,0.25401923060417175,1,1
M-005644,JsPaint,lib/pdf.js/web/viewer.js,11186,11197,12,3,1,3,3,0,1,0.0,-0.280497282743454,0,0
M-005660,JsPaint,lib/pdf.js/web/viewer.js,11729,11796,68,13,2,5,5,2,1,0.0,-0.22376994788646698,0,0
M-005693,JsPaint,lib/pdf.js/web/viewer.js,12807,12825,19,1,3,0,0,1,1,0.0,-0.47552743554115295,0,0
M-005701,JsPaint,lib/pdf.js/web/viewer.js,12911,12917,7,1,0,0,0,0,1,0.0,-0.8466343879699707,0,0
M-005702,JsPaint,lib/pdf.js/web/viewer.js,12919,12949,31,5,2,3,3,0,1,0.0,-0.27139097452163696,0,0
M-005711,JsPaint,lib/pdf.js/web/viewer.js,13026,13073,48,1,0,0,0,3,1,0.0,-0.36870577931404114,0,0
M-005712,JsPaint,lib/pdf.js/web/viewer.js,13075,13080,6,1,0,0,0,2,1,0.0,-0.8859611749649048,0,0
M-005720,JsPaint,lib/pdf.js/web/viewer.js,13289,13322,34,1,6,0,0,2,1,0.0,0.19279921054840088,0,1
M-005726,JsPaint,lib/pdf.js/web/viewer.js,13355,13365,11,3,2,1,1,1,1,0.0,-0.37238022685050964,0,0
M-005732,JsPaint,lib/pdf.js/web/viewer.js,13422,13426,5,1,0,0,0,1,1,0.0,-0.965279757976532,0,0
M-005743,JsPaint,lib/pdf.js/web/viewer.js,13619,13650,32,5,3,2,2,3,1,0.0,-0.3768112063407898,0,0
M-005750,JsPaint,lib/pdf.js/web/viewer.js,14582,14586,5,1,2,0,0,1,1,0.0,-0.6534324288368225,0,0
M-005757,JsPaint,lib/tracky-mouse/tracky-mouse.js,323,333,11,1,0,0,0,0,1,0.0,-0.4136554002761841,0,0
M-005769,JsPaint,src/OnCanvasSelection.js,24,27,4,1,0,0,0,0,1,0.0,-0.9505043029785156,0,0
M-005770,JsPaint,src/OnCanvasSelection.js,28,146,119,1,7,1,1,1,1,0.0,0.2401757389307022,0,1
M-005771,JsPaint,src/OnCanvasSelection.js,147,203,57,5,3,4,4,0,1,0.0,-0.11018050462007523,0,0
M-005814,Xeokit-SDK,src/extras/ContextMenu/ContextMenu.js,610,784,175,17,10,5,5,1,1,0.0,0.22519409656524658,1,1
M-005823,Xeokit-SDK,src/plugins/AngleMeasurementsPlugin/AngleMeasurement.js,187,312,126,23,3,14,14,0,1,0.0,0.2664184868335724,1,1
M-005829,Xeokit-SDK,src/plugins/AngleMeasurementsPlugin/AngleMeasurement.js,375,378,4,1,0,0,0,0,1,0.0,-0.9603478908538818,0,0
M-005894,Xeokit-SDK,src/plugins/BCFViewpointsPlugin/BCFViewpointsPlugin.js,356,575,220,20,5,18,18,1,3,3.0,0.32317808270454407,1,1
M-005896,Xeokit-SDK,src/plugins/BCFViewpointsPlugin/BCFViewpointsPlugin.js,620,854,235,24,8,8,8,2,1,0.0,0.12497422099113464,1,1
M-005901,Xeokit-SDK,src/plugins/CityJSONLoaderPlugin/CityJSONLoaderPlugin.js,125,130,6,1,0,0,0,2,1,0.0,-0.9179080128669739,0,0
M-005909,Xeokit-SDK,src/plugins/CityJSONLoaderPlugin/CityJSONLoaderPlugin.js,316,396,81,15,10,3,3,3,1,0.0,0.315304160118103,1,1
M-006036,Xeokit-SDK,src/plugins/GLTFLoaderPlugin/GLTFDefaultDataSource.js,20,28,9,1,2,0,0,3,1,0.0,-0.7479003071784973,0,0
M-006094,Xeokit-SDK,src/plugins/lib/html/Label.js,132,142,11,3,1,0,0,1,1,0.0,-0.34904080629348755,0,0
M-006143,Xeokit-SDK,src/plugins/SectionPlanesPlugin/Control.js,1293,1296,4,1,0,0,0,0,1,0.0,-0.9559578895568848,0,0
M-006235,Xeokit-SDK,src/plugins/TreeViewPlugin/TreeViewPlugin.js,1065,1070,6,2,2,1,1,0,1,0.0,-0.7512028813362122,0,0
M-006243,Xeokit-SDK,src/plugins/TreeViewPlugin/TreeViewPlugin.js,1258,1293,36,8,8,3,3,0,1,0.0,0.34931039810180664,0,1
M-006345,Xeokit-SDK,src/viewer/metadata/MetaScene.js,310,408,99,25,7,1,1,1,1,0.0,0.34971925616264343,1,1
M-006434,Xeokit-SDK,src/viewer/scene/camera/CameraFlightAnimation.js,168,338,171,45,5,3,3,3,1,0.0,0.3012838363647461,1,1
M-006436,Xeokit-SDK,src/viewer/scene/camera/CameraFlightAnimation.js,361,453,93,28,3,8,8,1,1,0.0,0.46960943937301636,1,1
M-006462,Xeokit-SDK,src/viewer/scene/camera/CameraPath.js,150,155,6,3,0,0,0,4,1,0.0,-0.47694531083106995,0,0
M-006534,Xeokit-SDK,src/viewer/scene/CameraControl/CameraControl.js,963,976,14,7,1,0,0,1,1,0.0,-0.35226595401763916,0,0
M-006544,Xeokit-SDK,src/viewer/scene/CameraControl/CameraControl.js,1104,1107,4,1,0,0,0,0,1,0.0,-0.9527183175086975,0,0
M-006674,Xeokit-SDK,src/viewer/scene/Component.js,478,482,5,1,0,0,0,1,1,0.0,-0.8084848523139954,0,0
M-006675,Xeokit-SDK,src/viewer/scene/Component.js,507,723,217,37,6,7,7,1,1,0.0,0.16274888813495636,1,1
M-006845,Xeokit-SDK,src/viewer/scene/lights/PointLight.js,283,286,4,2,0,0,0,1,1,0.0,-0.8823248147964478,0,0
M-006923,Xeokit-SDK,src/viewer/scene/materials/EdgeMaterial.js,201,208,8,2,1,0,0,1,1,0.0,-0.7181155681610107,0,0
M-007182,Xeokit-SDK,src/viewer/scene/mesh/Mesh.js,220,359,140,20,2,1,1,2,1,0.0,0.2481365203857422,1,1
M-007191,Xeokit-SDK,src/viewer/scene/mesh/Mesh.js,457,463,7,2,0,0,0,1,1,0.0,-0.5714763402938843,0,0
M-007300,Xeokit-SDK,src/viewer/scene/mesh/shadow/ShadowShaderSource.js,5,8,4,1,0,0,0,1,1,0.0,-0.8768510818481445,0,0
M-007309,Xeokit-SDK,src/viewer/scene/metriqs/Metriqs.js,236,240,5,1,0,0,0,2,1,0.0,-0.27911972999572754,0,0
M-007343,Xeokit-SDK,src/viewer/scene/model/dtx/triangles/renderers/TrianglesDataTextureColorQualityRenderer.js,299,423,125,15,2,6,6,0,1,0.0,0.35456326603889465,1,1
M-007344,Xeokit-SDK,src/viewer/scene/model/dtx/triangles/renderers/TrianglesDataTextureColorQualityRenderer.js,425,803,379,43,4,7,7,0,1,0.0,0.4880732297897339,1,1
M-007355,Xeokit-SDK,src/viewer/scene/model/dtx/triangles/renderers/TrianglesDataTextureColorRenderer.js,512,595,84,9,3,4,4,0,1,0.0,0.09938287734985352,0,0
M-007439,Xeokit-SDK,src/viewer/scene/model/dtx/triangles/renderers/TrianglesDataTexturePickNormalsFlatRenderer.js,245,288,44,4,2,3,3,0,1,0.0,0.3045760989189148,0,1
M-007532,Xeokit-SDK,src/viewer/scene/model/dtx/triangles/TrianglesDataTextureLayer.js,1059,1094,36,4,1,2,2,2,1,0.0,0.05368068069219589,0,0
M-007637,Xeokit-SDK,src/viewer/scene/model/SceneModel.js,2079,2162,84,42,3,0,0,1,1,0.0,0.25332945585250854,1,1
M-007638,Xeokit-SDK,src/viewer/scene/model/SceneModel.js,2185,2303,119,41,7,2,2,1,1,0.0,0.07368053495883942,1,1
M-007640,Xeokit-SDK,src/viewer/scene/model/SceneModel.js,2436,2691,256,104,4,2,2,1,1,0.0,0.06370037794113159,1,1
M-007798,Xeokit-SDK,src/viewer/scene/model/vbo/linesBatching/LinesBatchingLayer.js,542,621,80,24,3,12,12,4,1,0.0,0.3864966630935669,1,1
M-007984,Xeokit-SDK,src/viewer/scene/model/vbo/pointsInstancing/PointsInstancingRenderers.js,98,120,23,8,1,0,0,0,1,0.0,-0.29624509811401367,0,0
M-008014,Xeokit-SDK,src/viewer/scene/model/vbo/snapBatching/SnapBatchingDepthBufInitRenderer.js,26,139,114,17,6,12,12,3,1,0.0,0.32582420110702515,1,1
M-008067,Xeokit-SDK,src/viewer/scene/model/vbo/trianglesBatching/renderers/TrianglesBatchingColorRenderer.js,16,154,139,20,4,5,5,0,1,0.0,0.36310237646102905,1,1
